CEC_Function,Best_Score,Mean_Score,Std_Dev
F102017,1008.3242226922207,5015.664631354765,5659.169678881503
F112017,2367.9329243010757,25147.286075687665,18970.50649964154
F12017,111.09757297638546,4134.5252677481,3378.190594457242
F122017,1844.6071294428245,21660.927476098877,63311.34512968699
F132017,1346.6687361811003,4677.87800893333,6137.658585414018
F142017,1588.0048435798392,17641.6547018731,16058.712887408392
F152017,1502.1908844130141,2240.8045911237455,2080.3116106950656
F162017,1629.9133859720991,1938.7191296809278,280.29126244283674
F172017,2643.8723523993067,15243.671264990095,16199.810932615785
F182017,1842.375912778601,7432.069266268958,8364.788438101354
F192017,1926.1749314741073,2061.485152621838,99.19612844853131
F202017,2100.000000000001,2134.6009523705256,69.79131931630732
F212017,2202.2251075141266,2206.3150217012817,2.359044239803229
F22017,200.0,200.00000000000065,2.3822468074649363e-12
F222017,2300.000000000001,2362.7697088771583,53.32957941731784
F232017,2400.0000000000027,2513.4076333027474,59.46556736173442
F242017,2879.28890420334,2906.162076003102,32.723591809751106
F252017,2956.4266984261703,2976.158986560656,23.02515409848666
F262017,2989.74463868423,3004.6389849445145,23.00802685767913
F272017,2700.0000000000014,2725.714780989923,14.32381476483605
F282017,3829.5663773367223,8003.373139788439,7651.083167246644
F292017,6991.184004368847,244348.73794931977,1132379.451445552
F32017,300.3169261281155,305.9635816194138,2.7649468837080464
F42017,417.90922771750786,457.7185821009021,26.949650306756606
F52017,500.0000000000004,500.000022240054,7.498749880847919e-05
F62017,635.0820966017559,678.4063691549931,25.562177241911563
F72017,720.0,740.6320920059794,12.388101946279361
F82017,800.0000000000001,800.7384896266526,0.9818292673056224
F92017,916.8249856743059,1527.9961817111212,257.181130288588
